image_name,caption,emotions
conceptualcaptions__1280-beard5.jpg,"this way , you can understand how your hair in a natural way grows and get an idea of what kind of shapes your facial beard can take .","['interested', 'neutral', 'happy']"
conceptualcaptions__12849c3493098b34f8899ddf7dbd6f7f.jpg,jacket with that kind of collared tee actually works .,"['interested', 'happy', 'curious', 'excited', 'confused']"
conceptualcaptions__12c62fb652ab634599515643ac0e06a5--christopher-nolan-super-mario-bros.jpg,"a gritty , realistic movie directed by film director .","['intrigued', 'interested', 'curious', 'excited', 'confused']"
conceptualcaptions__13180-illustration-of-a-bandage-wrapped-on-a-foot-pv.jpg,illustration of a bandage wrapped on a foot : free,"['curious', 'nostalgic', 'confused', 'sad']"
conceptualcaptions__13192-vintage-illustration-of-an-arabian-princess-climbing-a-mountain-pv.jpg,vintage illustration of a princess climbing a mountain : free,"['intrigued', 'interested', 'happy', 'excited', 'annoyed']"
conceptualcaptions__140713+awayfromtheblue+vintage+Louis+Vuitton+monogram+speedy+25+bag+knit+jeans.jpg,away from the vintage mono speedy bag worn on arm,"['good', 'excited', 'beautiful']"
conceptualcaptions__1413901625462_wps_2_1114_COVER_hi_jpg.jpg,it 's not lonely at the top : actor looks handsome in a denim shirt and tie for his november cover of magazine,"['intrigued', 'interested', 'happy', 'excited']"
conceptualcaptions__1486949913143.jpg,male killer whale in the waters .,"['impressed', 'happy', 'excited']"
conceptualcaptions__15-Delos-Greece.jpg,view of the ruins and surrounding island from a hill .,['happy']
conceptualcaptions__1501995-Matilda-Joslyn-Gage-Quote-The-careful-student-of-history-will.jpg,"personthe careful student of history will discover that religion has been of very little value in advancing civilization , but has done a great deal toward retarding it .","['upset', 'disgusted']"
conceptualcaptions__151006110650-djokovic-forehand-super-169.jpg,"there were no issues whatsoever for the men 's player of the season , in his first match since winning tv programme creator .","['neutral', 'happy']"
conceptualcaptions__193748746.jpg,"sketch of young man playing the violin , violinist , hand drawn","['impressed', 'awe', 'interested', 'happy', 'curious', 'joy']"
conceptualcaptions__1Millennium-Stadium.jpg,sports facility will benefit from a new pitch,"['good', 'disgusted', 'happy', 'hopeful', 'excited']"
conceptualcaptions__1f06b8bb45412f59102f71a39a17e8ab--lobby-lounge-lower-manhattan.jpg,we love the scenographer - designed lounge .,"['intrigued', 'interested', 'confused']"
conceptualcaptions__2013-09-11-19.18.54.jpg,this is pretty representative of a typical evening .,"['proud', 'happy', 'calm', 'bored']"
conceptualcaptions__213004183.jpg,group of tree best friends standing and hugging each other .,"['happy', 'annoyed', 'sad']"
conceptualcaptions__230295aa33b19e7d7b94f16eeb387217--leveon-bell-shape.jpg,from bling - a green and red glitter mix of all shapes and sizes with a gorgeous gold shimmer in a clear base .,"['interested', 'neutral', 'happy', 'excited', 'joy']"
conceptualcaptions__23B3032F00000578-2858768-image-a-53_1417612808048.jpg,fun : showed off her dance moves,"['happy', 'curious', 'confused']"
conceptualcaptions__25C0721B00000578-0-image-m-37_1424148008383.jpg,the traffic had to be stopped on monday afternoon as the daring rescue took place,"['happy', 'fear']"
conceptualcaptions__25b72d663a569c3b2f4858f65cf41004--meanwhile-in-america-quote-wall.jpg,so sad this is the logical conclusion of many lines of thought .,"['sad', 'angry']"
conceptualcaptions__2612EFC500000578-0-image-m-36_1424873448423.jpg,"chic and simple : model proved her worth as a model , stepping out in the ultimate off - duty uniform of black skinny jeans and a simple top as she grabbed a coffee on tuesday","['happy', 'beautiful', 'bored']"
conceptualcaptions__265922_6001_L.jpg,trail is a great trail for the shoe .,"['awe', 'interested', 'hopeful', 'excited', 'worried', 'curious', 'beautiful', 'inspired']"
conceptualcaptions__272BEF5700000578-0-image-a-10_1427827564873.jpg,person shows off his 60m gold medal in march last year,"['impressed', 'proud', 'happy', 'curious', 'joy', 'sad']"
conceptualcaptions__293354D000000578-0-image-a-29_1489594119895.jpg,person has previously played and will be available for the whole tournament,"['upset', 'neutral', 'happy', 'curious', 'annoyed', 'sad', 'angry']"
conceptualcaptions__2AE8B17700000578-0-Motorola_has_launched_a_trio_of_smartphones_pictured_in_an_attem-a-111_1438097864312.jpg,telecommunications business has launched a trio of smartphones in an attempt to dominate both the high and low end of the mobile market,"['hopeful', 'excited', 'curious', 'beautiful']"
conceptualcaptions__2b34cae413d12962001299ac4cd87a4f.jpg,a work to weekend tote : the leather tote bag .,"['interested', 'happy', 'curious']"
conceptualcaptions__2c1e389c764b1950a350502f90b634e6--wedding-boots-snow-wedding.jpg,i have never thought about a winter wedding until this ... gorgeous !,"['excited', 'beautiful', 'inspired', 'confused']"
conceptualcaptions__2z5ndMuZW7h5OASlLPr30w7Z3eLYj8eiM8jv3J4SuB8hJN82.jpg,a group of diverse students wear read in support of red ribbon week .,"['interested', 'happy', 'curious', 'inspired', 'bored', 'nostalgic']"
conceptualcaptions__309C498C00000578-3418348-image-m-146_1453852993948.jpg,"sealed with a kiss : toward the end of the performance , the talented star locked lips with actor","['awe', 'happy', 'curious', 'confused', 'disgusted']"
conceptualcaptions__329008d7e25deeff9402b879d3f94ccd--s-fashion-fashion-vintage.jpg,back view of the wedding dress and hat worn by person .,"['interested', 'happy', 'curious', 'beautiful', 'confused']"
conceptualcaptions__33746745-two-beautiful-female-hands-palms-facing-each-other-on-a-white-background--Stock-Photo.jpg,beautiful female hands palms facing each other on a white background .,"['happy', 'excited', 'curious', 'confused']"
conceptualcaptions__36245400ca509c85a762c9494dcea251.jpg,outfit : suede fringe ankle booties with skinny jeans and a sweater .,"['happy', 'curious', 'beautiful', 'inspired']"
conceptualcaptions__37848e73f57c446fb67c7ba2d178530d--white-linen-shirt-white-shirts.jpg,a shirt does not get more simple or classic than this style .,['interested']
conceptualcaptions__3837A37F00000578-3784098-image-a-17_1473656893428.jpg,"despite the concerning footage , she emerged from the home on sunday saying she was fine .","['interested', 'concerned', 'intrigued', 'happy', 'curious', 'disgusted', 'nostalgic']"
conceptualcaptions__389C020B00000578-0-image-m-43_1474377472920.jpg,making the sidewalk her catwalk : the blonde beauty can be seen walking down a street in black and white patterned leggings and a large white logo emblazoned sweater,"['interested', 'curious']"
conceptualcaptions__3C42E29500000578-0-image-m-22_1484813668702.jpg,person admitted that his ankle was after a fall during his win over tennis player,"['interested', 'happy', 'worried', 'confused']"
conceptualcaptions__3DCDB75300000578-4267776-The_converted_apartment_includes_a_bright_new_kitchen_with_some_-a-34_1488299351179.jpg,the converted apartment includes a bright new kitchen with some integrated appliances,"['interested', 'happy', 'beautiful']"
conceptualcaptions__3a0c9d2976de32c2e4ab3266d5167a57--glass-garden-berkeley.jpg,students and their work from the intro to stained glass class,"['happy', 'curious', 'bored']"
conceptualcaptions__3eb727dd88d2a7959242e3d82ab4ce99--dark-teal-the-victoria.jpg,garment in black soft lace with dark teal lining is your new little black dress that oozes with feminine style .,"['interested', 'beautiful', 'confused']"
conceptualcaptions__3fa5eae693cb7284f408b08481d70519.jpg,"soft rock artist , snaking through person .","['intrigued', 'neutral', 'curious', 'annoyed', 'confused']"
conceptualcaptions__4007732900000578-4481296-Good_buddies_Eventually_it_seems_the_17_Again_actor_did_in_fact_-a-108_1494138289741.jpg,"good buddies : eventually it seems the actor did in fact put on a shirt , when he took a few photos with friends","['interested', 'neutral', 'happy']"
conceptualcaptions__40579BAD00000578-4506386-image-m-74_1494838976894.jpg,football team will return next season after winning the title,"['neutral', 'happy', 'excited']"
conceptualcaptions__4068466700000578-0-image-m-24_1495039592599.jpg,ladies who lunch : the socialite enjoyed catching up with person and another pal over lunch,['happy']
conceptualcaptions__4255AE3C00000578-4697334-The_38_year_old_actress_highlighted_her_long_legs_in_skinny_jean-m-83_1500048647515.jpg,"the actress highlighted her long legs in skinny jeans , adding a colorful knitted sweater with a large hat and sunglasses","['interested', 'happy', 'sad']"
conceptualcaptions__4281840700000578-4713278-image-a-33_1500536550874.jpg,finishing touches : person teamed her silver top with a pair of ripped skinny jeans,"['happy', 'curious', 'bored']"
conceptualcaptions__432CF17300000578-4783082-image-a-4_1502480935921.jpg,a child suffering from disease lies on a bed,['sad']
conceptualcaptions__452A879400000578-4962620-The_master_bedroom_includes_an_open_fireplace_and_a_feature_bay_-a-72_1507717756818.jpg,the master bedroom includes an open fireplace and a feature bay window with seating,"['neutral', 'happy', 'calm', 'annoyed']"
conceptualcaptions__45a9a2648fcc1176576abfa3d2ba39f1--funny-faces-austin-moon.jpg,the handsome face of pop rock artist .,"['happy', 'curious', 'excited', 'confused']"
conceptualcaptions__46e0dd863861406be588d6513d804363--louisville-gazebo.jpg,another view at lower right .,"['sad', 'interested', 'happy', 'curious', 'confused', 'nostalgic']"
conceptualcaptions__47d4fdd5170bce1499d69c0afc479ab0--avalanche-dream-big.jpg,"it seemingly took forever to get this done , but the new rear bumper is finally mounted and i am really happy with the results .","['interested', 'happy', 'confused', 'fear']"
conceptualcaptions__4a1d3225b9ce825ce7cf0f7f25c1897574227bc7860b231cadbf55e4e14b9740.jpg,i enjoy watching the expressions on girls faces when they step on the scale at the gym .,"['happy', 'hopeful', 'curious', 'confused', 'sad']"
conceptualcaptions__4a3129c6ee8f2d6c4bc7e1502e93584c--dura-mater-spinal-cord.jpg,median section of skull showing middle meningeal artery and significant planes of skull .,"['interested', 'curious', 'excited']"
conceptualcaptions__4abb04139318bbfdeee7dc9fcf04f5ea.jpg,nice day for a wet wedding !,['happy']
conceptualcaptions__4b9e6fc7f1d992515dd21df8d20286d8--outdoor-curtains-outdoor-rooms.jpg,gazebo with curtains create a refreshing look,"['happy', 'calm']"
conceptualcaptions__507caf271d076a0d7cad7e1bf633792c--silver-jewellery-silver-necklaces.jpg,two joined hearts holding the treasured prints of your loved ones .,"['happy', 'curious', 'amazed']"
conceptualcaptions__51350baac8e9f4756422aff0015e60c5--good-morning-images-morning-motivation.jpg,good morning image with boy looking a sunflower .,"['interested', 'happy', 'curious', 'beautiful', 'calm']"
conceptualcaptions__52fb0aa4eac5fdcf441c0647d18c1223--chicago-bulls-the-chicago.jpg,"a major winter storm is making its presence known , moving steadily east and killing people since christmas day .","['concerned', 'scared', 'excited', 'nostalgic', 'sad']"
conceptualcaptions__558fa6f95428865bbb9fec1cb1f5953b--bob-seger-classic-rock.jpg,the issue has a-page article on hard rock artist,"['interested', 'good', 'excited', 'curious']"
conceptualcaptions__55e6e006c1dfb6c96930aa3d376c1077--outdoor-living-outdoor-spaces.jpg,gazebo on a shady hillside,"['good', 'happy', 'excited', 'beautiful']"
conceptualcaptions__562ef51f421d658b5fdcc575911ce5c8.jpg,growing my hair out right now .,"['good', 'happy', 'beautiful', 'bored']"
conceptualcaptions__5653dd375bbf084c08b8910d23e7e0be--ohio-state-gear-buckeye-nut.jpg,polka dot knee socks ... cute with shorts for a warm game day :),"['neutral', 'happy', 'curious', 'confused']"
conceptualcaptions__5e96a833285f2f2b5de72b9db3680fe9--cheetah-flats-leopard-print-wedges.jpg,love the shape of these shoes - would wear them in a solid neutral color or maybe a print other than animal .,"['happy', 'curious', 'annoyed', 'bored']"
conceptualcaptions__5ee6bfe805c56ef0834cfb5fe163de87.jpg,women performing a traditional dance of the people .,"['awe', 'interested', 'intrigued', 'happy', 'curious']"
conceptualcaptions__6250beb158781d482564af6bca61093a--towards-the-sun-wrapped-canvas.jpg,"this is what i want the sunflowers on my next tattoo to look like , one for each of my kids .","['interested', 'happy', 'curious', 'joy', 'inspired']"
conceptualcaptions__6257274-boy-walking-outdoor-along-a-road-with-trees-with-his-dog-half-coloured-and-half-black-white-picture-Stock-Photo.jpg,"boy walking outdoor along a road with trees , with his dog .","['impressed', 'amazed', 'calm', 'confused', 'nostalgic']"
conceptualcaptions__656-RC4658-Tasman-District.jpg,outdoor living under the shade of trees,"['neutral', 'good', 'happy', 'curious', 'joy']"
conceptualcaptions__6696a1db6cb4158cf6de80e2173d9faa--babyshower-birthday-ideas.jpg,drinks with - kids loved it ... i also added frozen fruit .,"['interested', 'happy', 'curious', 'excited']"
conceptualcaptions__68eda24b6b3b0abb57ea8dce372bdea9--herschel-heritage-heritage-backpack.jpg,classic form meets modern function in this heirloom - grade backpack .,"['interested', 'good', 'happy', 'nostalgic']"
conceptualcaptions__6b67819fc7ce04853c96b875a0a66595--moda-fashion-fashion-men.jpg,add some rich color to your fall style with this warm & versatile rust - colored cardigan .,"['interested', 'disgusted', 'curious']"
conceptualcaptions__6f47d296cbd8a8f25746883d0e9308ed--savvy-southern-style-southern-charm.jpg,think flowers are too feminine ? what if we said you could fill website category painted mason jars with your favorite cocktail ? i thought you 'd reconsider .,"['proud', 'confused']"
conceptualcaptions__6fa6a3dfcf1699c830130e2fe86f4010--door-frames-exterior-doors.jpg,outdoor installation prevents pets from clawing at the door and scratching the exterior doors of your home .,"['hopeful', 'happy', 'worried', 'excited', 'inspired']"
conceptualcaptions__703e5eb4930ca555c37afb703eb96a76.jpg,rare photo of a cat tree in full bloom,"['good', 'happy', 'beautiful']"
conceptualcaptions__70fac347648aececdc059adca1a50395--arch-mirror-window-mirror.jpg,would love one of these for my house .,"['intrigued', 'interested', 'happy', 'curious', 'excited', 'worried', 'confused', 'bored']"
conceptualcaptions__7331217505a3a8b6_4964-w500-h666-b0-p0--.jpg,this is an example of a traditional dining room with brown walls and painted wood flooring .,"['neutral', 'happy', 'hopeful', 'annoyed', 'calm', 'bored']"
conceptualcaptions__734b7343c08b7591634bcbd27a01fb5d43154a1c.jpg,graduation day : empowering the class to make the impossible possible,"['proud', 'happy', 'excited']"
conceptualcaptions__744c9edc18a3da18083cead3fecd580f--trendy-haircuts-haircuts-for-round-faces.jpg,the new web for people who love hair !,"['intrigued', 'interested', 'happy', 'excited', 'beautiful']"
conceptualcaptions__74516f980eb8025c_2935-w500-h666-b0-p0--.jpg,example of a trendy living room design,"['intrigued', 'interested', 'happy', 'excited']"
conceptualcaptions__7464688-3x2-940x627.jpg,a man lies in a hospital bed .,"['happy', 'curious', 'worried', 'sad']"
conceptualcaptions__75f2880b246c9638780896bf28375ab7--grand-budapest-hotel-.jpg,actor wearing chunky sandals to the premiere of comedy,"['happy', 'curious', 'disgusted', 'nostalgic']"
conceptualcaptions__76266b94dd1adfebb045ba8f3c1f32e9--yellow-blouse-yellow-top.jpg,"i 'm totally struggling with dressing down now for work , i think this is a good combo of my super nice clothes worn with jeans .","['happy', 'worried', 'beautiful', 'inspired', 'confused']"
conceptualcaptions__7be1fbe693a4d761d41958db1f632949.jpg,celebrate the holidays by making these sweet snowman shaped cookies .,"['interested', 'happy', 'excited', 'inspired', 'sad']"
conceptualcaptions__7c446516a30e2aa67121e326d5f03c7e--pathways-beautiful-places.jpg,* purple avenue i would love take a picture of me in a beautiful wedding dress on this avenue .,"['awe', 'happy', 'excited', 'amazed', 'beautiful']"
conceptualcaptions__7d5c8200681ccc80ad840dc47fd6e51e--embroidery-hearts-embroidery-ideas.jpg,satin stitched and lazy daisy embellished embroidery from person even blog,"['impressed', 'intrigued', 'interested', 'happy', 'excited', 'beautiful']"
conceptualcaptions__810664.jpg,printing on outdoor advertising - the walls,"['intrigued', 'curious', 'amazed', 'confused', 'bored']"
conceptualcaptions__84945ce69e360ee0f8505cb10b3a9acb--cape-cod-cottage-cottage-in.jpg,when person purchased a run down home no one knew it would become a total dream house after a grand renovation .,"['interested', 'excited', 'calm', 'beautiful', 'inspired']"
conceptualcaptions__85144214c946a60e2a78380c1a275f8a--explore-travel-the-road.jpg,the road to mountain and other amazing roads around the world,"['intrigued', 'concerned', 'good', 'happy', 'curious', 'amazed']"
conceptualcaptions__85339a72c9ed651b68248e17955e34ce.jpg,"italian dish - save your money and make this copycat version of the seasonal drink - paleo , gluten free and vegan - everyone can enjoy it !","['excited', 'curious']"
conceptualcaptions__8ac79500f35e6bda393ae0f6b0b06e0c--administrative-assistant-career-advice.jpg,"administrative assistants work in every industry , and their jobs are extremely demanding .","['intrigued', 'interested', 'bored']"
conceptualcaptions__8be4535e6d83259323f6134e11632455--winter-wedding-cakes-winter-cakes.jpg,snowflake christmas drip cake / this may be beautiful in blue hues .,"['impressed', 'inspired', 'interested', 'happy']"
conceptualcaptions__8ddfaa6e5b30cb3660ce99b68b49391e--men-tattoos-dope-tattoos.jpg,"stairs to heaven , scroll hands and dove custom tattoo by tattoo , via photo sharing website","['impressed', 'awe', 'proud', 'neutral', 'happy', 'excited', 'amazed', 'annoyed', 'inspired', 'disgusted']"
conceptualcaptions__8e0471fd3f849632f15b7052562d50dd--coin-collecting-the-coin.jpg,the 24k gold kilo coin is encrusted with diamonds and contains no traces of any other metals - produced by defunct organisation who were first granted person by monarch,"['neutral', 'curious', 'excited', 'amazed', 'beautiful', 'disgusted', 'sad']"
conceptualcaptions__92573014.jpg,trees are sometimes a source of significant injuries or damage .,"['happy', 'worried']"
conceptualcaptions__92b4ed7d9577e4a959dda4020bd16322--s-hairstyles-hairstyles-men.jpg,this image gives a good reference to the style in terms of male teenager 's hair .,"['impressed', 'interested', 'happy', 'nostalgic', 'sad']"
conceptualcaptions__933ded2f5cd827595e6dd84037f121d1--mystical-forest-fantasy-forest.jpg,ruined gate in the forest .,"['intrigued', 'scared', 'excited', 'worried', 'curious', 'inspired']"
conceptualcaptions__953_Oris-Williams-40th-Anniversary-Limited-Edition_Chronoris-large.jpg,the watch is based on a classic,"['good', 'happy', 'curious']"
conceptualcaptions__96311c5975efe99eccb09d168dbdaac8.jpg,this would be awesome for a bridal shower !,"['intrigued', 'happy', 'curious', 'excited', 'beautiful', 'joy', 'disgusted']"
conceptualcaptions__96ec141c00a1653d2e1168b14c0f3d82.jpg,looking for some awesome books to enjoy this year ? check out our list of books you should read to find your next book !,"['intrigued', 'happy', 'curious', 'excited']"
conceptualcaptions__976ca704bf1bb7db883293b31e5dec32--flower-designs-spring-flowers.jpg,spring flowers and ferns ... fresh for the table !,"['happy', 'excited', 'beautiful', 'sad']"
conceptualcaptions__98ecc98b2ca1f295a0cf2c2f3b0925c3.jpg,deck out your door with a fall wreath to last throughout the season .,"['happy', 'excited', 'beautiful']"
conceptualcaptions__9956723.jpg,massive trees tumbled across the entrance to this home .,"['happy', 'sad']"
conceptualcaptions__9e7314f7a689c209276a624c518da71f--hand-painted-pottery-blue-pottery.jpg,"pottery is very distinct in its white glaze , dominantly dark blue patterns and geometry quality .","['awe', 'interested', 'curious', 'amazed', 'nostalgic']"
conceptualcaptions__A-real-life-game-of-Quidditch-a-strange-sport-which-is-gaining-popularity.jpg,"a real life game of sport , a strange sport which is gaining popularity","['interested', 'happy', 'excited', 'curious']"
conceptualcaptions__Anatoly-Beloshchin-2-585x488.jpg,river under the sea - fresh water inside an ocean,"['intrigued', 'happy', 'beautiful']"
conceptualcaptions__Barbecue-Ribs_Steps_collage-copy-680x448.jpg,"oven baked barbecue pork ribs - rubbed with spices , baked until fall apart tender then finished with an incredible homemade barbecue sauce !","['interested', 'excited', 'curious']"
conceptualcaptions__Cabo-de-Gata-2-10.jpg,moving a few of these rocks around was good exercise .,"['impressed', 'happy', 'curious']"
conceptualcaptions__Canyon%20Spring%20(RL)-1.jpg,next modular home in the works !,"['good', 'excited', 'beautiful', 'confused']"
conceptualcaptions__EastonParklandFootball.jpg,"person ready for last game against a city , a family affair","['proud', 'happy', 'excited', 'confused', 'sad']"
conceptualcaptions__FpVPFsDiHRkED8gM.jpg,the fire at the former halls of residence is clearly visible from the road .,"['upset', 'concerned', 'interested', 'scared', 'curious', 'worried', 'amazed', 'confused', 'sad']"
conceptualcaptions__HTB1bV8bFVXXXXbCaXXXq6xXFXXX6.jpg,"pure dried apricot hot sale , names of all dry fruit","['awe', 'interested', 'good']"
conceptualcaptions__HTB1z5wrJVXXXXcsXFXXq6xXFXXXl.jpg,leather fashion genuine leather male lacing formal solid color waxing leather the first layer of leather shoes,"['interested', 'good', 'happy', 'sad']"
conceptualcaptions__Healthy-Southwest-Pasta-Salad-Vegetarian-Gluten-Free-500x500.jpg,got an extra can of black beans always lying around ? check out these awesome uses for black beans and creative recipes .,"['interested', 'curious', 'inspired', 'disgusted']"
conceptualcaptions__I-started-my-own-little-tradition-of-grabbing-a-cup-at-random-and-praying-for-that-person-as-I-drink-my-tea-or-coffee..jpg,i started my own little tradition of grabbing a cup at random and praying for that person as i drink my tea or coffee .,"['happy', 'hopeful', 'calm', 'inspired', 'sad']"
conceptualcaptions__IMG_1101.jpg,cats not to happy with the book,"['happy', 'sad', 'angry']"
conceptualcaptions__Obsession1.jpg,obsession - a miniature quilt by person,"['awe', 'interested', 'happy', 'confused']"
conceptualcaptions__P1020860-1024x575.jpg,i really slowed down traffic at this bridge where it was reduced to lane for construction,"['concerned', 'scared', 'happy', 'curious', 'confused']"
conceptualcaptions__Palestine_Praying-hands.jpg,people touch tourist attraction as they pray .,"['hopeful', 'curious', 'annoyed', 'inspired', 'sad', 'confused']"
conceptualcaptions__PressConf.jpg,football team manager is set to brief the media ahead of his side 's clash .,"['neutral', 'happy', 'excited']"
conceptualcaptions__Semir_Ben-Amor_Fibion.jpg,a former top ice hockey player wants to remind about the importance of everyday activity,"['happy', 'excited', 'inspired', 'bored']"
conceptualcaptions__Teen+Choice+Awards+2011+gsgO-LO6o5ml.jpg,"at awards , country pop artist wore her hair in a high ponytail with side - swept bangs and a few face - framing curls .","['interested', 'happy', 'excited', 'curious', 'annoyed', 'inspired']"
conceptualcaptions__The+AH-1+Cobra+series+of+helicopters+is+a+military+s+primary+light+attack+helicopter.+The+fuselage+featured+seating+with+the+pilot+in+read+and+gunner+in+front..jpg,the series of helicopters is a military s primary light attack helicopter .,"['impressed', 'intrigued', 'interested', 'proud', 'excited', 'angry']"
conceptualcaptions__The+following+rules+can+be+used+when+determining+the+number+of+significant+digits+in+a+number%3A.jpg,the following rules can be used when determining the number of significant digits in a number,"['interested', 'happy', 'beautiful', 'confused', 'bored', 'sad']"
conceptualcaptions__What-Shoes-Should-I-Wear-Airport.jpg,types of shoes you 'll regret not wearing to the airport,"['happy', 'curious']"
conceptualcaptions___53258758_queenwait.jpg,crowds waiting for the queen and noble person,"['intrigued', 'excited', 'amazed', 'joy', 'annoyed', 'sad']"
conceptualcaptions__a-beautiful-sky-seen-from-a-jetty-at-the-beach-old-saybrook-connecticut-e1a6k0.jpg,a beautiful sky seen from a jetty at the beach .,"['interested', 'happy', 'worried', 'beautiful', 'calm']"
conceptualcaptions__a-border-of-natural-planting-with-wild-and-cultivated-flowers-J1GX3T.jpg,a border of natural planting with wild and cultivated flowers,"['happy', 'excited', 'hopeful', 'beautiful', 'calm']"
conceptualcaptions__a-business-woman-preparing-for-work-dressing-and-putting-on-jewellery-h887jj.jpg,"a business woman preparing for work , dressing and putting on jewellery","['happy', 'curious', 'calm', 'bored']"
conceptualcaptions__a-couple-go-for-a-ride-in-a-traditional-rickshaw-in-takayama-japan-F82F4K.jpg,a couple go for a ride in a traditional rickshaw,"['interested', 'happy', 'curious', 'hopeful', 'sad']"
conceptualcaptions__a-drag-queen-dances-down-old-compton-street-during-the-soho-festival-aak7k1.jpg,a drag queen dances down a city during festival,"['disgusted', 'happy', 'confused']"
conceptualcaptions__a-family-walking-through-the-grass-holding-hands-father-holding-a-bp6jtj.jpg,"a family walking through the grass holding hands , father holding a bunch of colorful balloons","['happy', 'excited', 'sad']"
conceptualcaptions__a-lavish-and-large-sand-castle-on-an-empty-beach-f2k2bn.jpg,a lavish and large sand castle on an empty beach,"['intrigued', 'happy', 'amazed', 'calm']"
conceptualcaptions__a-lone-surfer-with-a-red-surfboard-walking-into-the-sea-newquay-cornwall-JTCEHB.jpg,a lone surfer with a red surfboard walking into the sea .,"['neutral', 'good']"
conceptualcaptions__a-maple-leaf-changing-color-to-the-bright-reds-and-yellows-of-fall-dhg58j.jpg,a maple leaf changing color to the bright reds and yellows of fall,"['happy', 'amazed']"
conceptualcaptions__a-model-car-is-worked-on-with-manual-tools-in-the-design-process-by-h2p5ra.jpg,a model car is worked on with manual tools in the design process by college students in a classroom,"['intrigued', 'interested', 'awe', 'happy', 'curious', 'beautiful', 'inspired']"
conceptualcaptions__a-model-of-jaws-shark-crashing-through-a-wall-deb711.jpg,"a model of horror film , shark , crashing through a wall","['scared', 'excited', 'fear']"
conceptualcaptions__a-modern-day-shepherd-on-a-quad-bike-controlling-a-flock-of-romney-btf1a2.jpg,a modern day shepherd on a quad bike controlling a flock of sheep in a field,"['intrigued', 'proud', 'happy', 'excited']"
conceptualcaptions__a-special-reaction-team-of-178th-military-police-detachment-89th-mp-HEMF8Y.jpg,armed force force their way into a condemned house,"['intrigued', 'scared', 'happy', 'curious', 'worried', 'confused', 'sad']"
conceptualcaptions__a-stained-glass-window-depicting-death-by-stoning-flemish-school-circa-bthx1w.jpg,"a stained glass window depicting death by stoning , circa 17th century","['neutral', 'good', 'scared', 'happy', 'curious', 'beautiful', 'confused', 'sad']"
conceptualcaptions__a-us-army-soldier-assigned-to-the-607th-military-police-company-scans-hea2r0.jpg,"a soldier assigned , scans the perimeter during a simulated enemy","['intrigued', 'proud', 'scared', 'curious', 'excited', 'inspired', 'confused']"
conceptualcaptions__a-well-kept-house-in-a-small-town-inland-in-southwest-jamaica-a01k1b.jpg,a well kept house in a small town,"['intrigued', 'awe', 'good', 'happy', 'curious', 'excited']"
conceptualcaptions__a-wild-roe-deer-seen-near-grasmere-lake-district-cumbria-england-uk-d5fde0.jpg,a wild roe deer seen,"['excited', 'curious']"
